run	task	solver	seed	rc	minutes
reorient-cube-allegro-direct-mujoco-s46-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco	46	1	0
reorient-cube-allegro-direct-mujoco-adaptive-s46-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	46	1	1
lift-kukaallegro-mujoco-s46-r1	Isaac-Lift-KukaAllegro	mujoco	46	1	1
lift-kukaallegro-mujoco-adaptive-s46-r1	Isaac-Lift-KukaAllegro	mujoco-adaptive	46	1	0
cartpole-direct-mujoco-s42-calib	Isaac-Cartpole-Direct	mujoco	42	0	0
cartpole-direct-mujoco-adaptive-s42-calib	Isaac-Cartpole-Direct	mujoco-adaptive	42	0	0
reorient-cube-allegro-direct-mujoco-s42-calib	Isaac-Reorient-Cube-Allegro-Direct	mujoco	42	0	0
reorient-cube-allegro-direct-mujoco-adaptive-s42-calib	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	1	0
lift-kukaallegro-mujoco-s42-calib	Isaac-Lift-KukaAllegro	mujoco	42	0	0
lift-kukaallegro-mujoco-adaptive-s42-calib	Isaac-Lift-KukaAllegro	mujoco-adaptive	42	0	0
reorient-cube-allegro-direct-mujoco-adaptive-s42-nan1.0	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	0	1
reorient-cube-allegro-direct-mujoco-adaptive-s42-nan0.95	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	0	0
reorient-cube-allegro-direct-mujoco-adaptive-s42-r1.0x1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	0	1
reorient-cube-allegro-direct-mujoco-adaptive-s43-r1.0x2	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	43	0	1
reorient-cube-allegro-direct-mujoco-adaptive-s44-r1.0x3	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	44	0	1
reorient-cube-allegro-direct-mujoco-adaptive-s45-r1.0x4	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	45	0	1
reorient-cube-allegro-direct-mujoco-adaptive-s42-r0.95x1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	0	0
reorient-cube-allegro-direct-mujoco-adaptive-s43-r0.95x2	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	43	0	0
reorient-cube-allegro-direct-mujoco-adaptive-s44-r0.95x3	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	44	0	0
reorient-cube-allegro-direct-mujoco-adaptive-s45-r0.95x4	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	45	0	0
